solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 1, single_diagonal 2, solid 0, solid 0, 
single_diagonal 2, solid 0, solid 0, single_diagonal 3, line_edge 0, solid 0, single_diagonal 0, line_edge 3, single_diagonal 3, line_edge_double_adjacent 3, 
line_edge_double_adjacent 0, solid 0, solid_stars 0, line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, line_edge_double_adjacent 0, solid 0, 
single_diagonal 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, single_diagonal 0, line_edge_double_adjacent 1, 
solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, 
solid 0, solid_stars 0, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, 
single_diagonal 3, line_edge 0, solid 0, line_edge 2, single_diagonal 1, line_edge 1, single_diagonal 2, solid 0, solid 0, solid 0, 
line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, single_diagonal 0, line_edge 3, solid 0, solid_stars 0, solid 0, 
