solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, solid 0, solid 0, single_center 3, double_two_angles_narrow_left 0, 
solid 0, single_center 2, solid 0, solid 0, solid 0, solid 0, double_two_angles_wide_left 1, single_center 1, solid 0, single_center 0, 
solid 0, single_center 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_wide_right 1, line_edge 0, solid 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, double_two_angles_wide_right 3, solid 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 1, single_center 1, solid 0, solid 0, solid 0, solid 0, 
solid 0, solid 0, solid 0, solid 0, line_center 0, solid 0, solid 0, solid 0, single_center 3, double_two_angles_narrow_right 0, 
solid 0, solid 0, solid 0, solid 0, double_two_angles_wide_left 2, single_center 1, solid 0, solid 0, solid 0, single_center 0, 
solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, 
